split,dataset_name,dataset_profile,selection_rule,binary_label,family,source,raw_sha256,raw_size_bytes,file_kind,image_sha256,image_width,image_height,conversion_rule,image_path,dataset_image_path,dataset_root,seed,test_fraction,vibex50_source_component,vibex50_addition_reason
test,VIBEX-50K,vibex-50k,linux_elf_only,benign,benign,ubuntu_26.04_live_server_squashfs,de58f1a36c00ac95f99cbe38f4d151a042f39889a917464f486266ab8d015936,18640,elf,2e46993a36dc5f442718e9e7603292a74b12142a755054631a98d9034e210d85,1024,1024,first_1048576_bytes_uint8_grayscale_pad_00_truncate_to_1024x1024,/home/phil/vibex_secure_dataset/derived/images/vibex-lnx-100k/benign/de58f1a36c00ac95f99cbe38f4d151a042f39889a917464f486266ab8d015936.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/benign/de58f1a36c00ac95f99cbe38f4d151a042f39889a917464f486266ab8d015936.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data,20260517,0.2,VIBEX-LNX-100K,base_component_release
test,VIBEX-50K,vibex-50k,linux_elf_only,benign,benign,ubuntu_26.04_desktop_iso,cfb5846c6b91d6403e5788d01f6947a968eb2835258e4766cc5f44418b50880c,2712,elf,add3e1bd231ac5c5f184d8c6ce1df0be9eaf3d363a62086a61270abfdd723ca4,1024,1024,first_1048576_bytes_uint8_grayscale_pad_00_truncate_to_1024x1024,/home/phil/vibex_secure_dataset/derived/images/vibex-lnx-100k/benign/cfb5846c6b91d6403e5788d01f6947a968eb2835258e4766cc5f44418b50880c.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/benign/cfb5846c6b91d6403e5788d01f6947a968eb2835258e4766cc5f44418b50880c.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data,20260517,0.2,VIBEX-LNX-100K,base_component_release
test,VIBEX-50K,vibex-50k,linux_elf_only,benign,benign,ubuntu_26.04_live_server_squashfs,45749ccea85379d0a957cddeb5936c42ab5f6820760016e6f1004b52e5519ac8,18640,elf,3c288b4925f21913782322c2ff42c580b7c73d76074abdb945f5ba9abfded383,1024,1024,first_1048576_bytes_uint8_grayscale_pad_00_truncate_to_1024x1024,/home/phil/vibex_secure_dataset/derived/images/vibex-lnx-100k/benign/45749ccea85379d0a957cddeb5936c42ab5f6820760016e6f1004b52e5519ac8.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/benign/45749ccea85379d0a957cddeb5936c42ab5f6820760016e6f1004b52e5519ac8.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data,20260517,0.2,VIBEX-LNX-100K,base_component_release
test,VIBEX-50K,vibex-50k,linux_elf_only,benign,benign,ubuntu_26.04_live_server_squashfs,1c46d03f50af9a81d026eeffd8d4e1b88ea5cd9f7682c96ed21b4cdfbbf18b1d,14720,elf,31e3b3df872d80baa31a759d055f4de450a3acac12c283ffe60b8cc31923037e,1024,1024,first_1048576_bytes_uint8_grayscale_pad_00_truncate_to_1024x1024,/home/phil/vibex_secure_dataset/derived/images/vibex-lnx-100k/benign/1c46d03f50af9a81d026eeffd8d4e1b88ea5cd9f7682c96ed21b4cdfbbf18b1d.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/benign/1c46d03f50af9a81d026eeffd8d4e1b88ea5cd9f7682c96ed21b4cdfbbf18b1d.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data,20260517,0.2,VIBEX-LNX-100K,base_component_release
test,VIBEX-50K,vibex-50k,linux_elf_only,benign,benign,ubuntu_26.04_live_server_squashfs,10a0cbb1f6e2c0b346f0c5ef3b1042697ae46190c2d471fd921b3eb8dc4bbe6d,39504,elf,02c7bddc749d981c7a6a6ba4e2ab54b5e482a18a83e81315bcd00d4bfa5747f2,1024,1024,first_1048576_bytes_uint8_grayscale_pad_00_truncate_to_1024x1024,/home/phil/vibex_secure_dataset/derived/images/vibex-lnx-100k/benign/10a0cbb1f6e2c0b346f0c5ef3b1042697ae46190c2d471fd921b3eb8dc4bbe6d.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/benign/10a0cbb1f6e2c0b346f0c5ef3b1042697ae46190c2d471fd921b3eb8dc4bbe6d.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data,20260517,0.2,VIBEX-LNX-100K,base_component_release
test,VIBEX-50K,vibex-50k,linux_elf_only,benign,benign,ubuntu_26.04_desktop_iso,88190934fe1512103a164ad3c5327df0aec131cf18f2ac8336a1a11d07b1fedd,28208,elf,505582df5ef88a6950a003d1c4ab478b4e68be221ff0bd8e75f39ebe1b9bcbec,1024,1024,first_1048576_bytes_uint8_grayscale_pad_00_truncate_to_1024x1024,/home/phil/vibex_secure_dataset/derived/images/vibex-lnx-100k/benign/88190934fe1512103a164ad3c5327df0aec131cf18f2ac8336a1a11d07b1fedd.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/benign/88190934fe1512103a164ad3c5327df0aec131cf18f2ac8336a1a11d07b1fedd.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data,20260517,0.2,VIBEX-LNX-100K,base_component_release
test,VIBEX-50K,vibex-50k,linux_elf_only,benign,benign,ubuntu_26.04_desktop_iso,7b614a01f222402d85b57db4318fbd57fe7ec6fc97a60bf6d7c3433f902aa080,2084,elf,f637edebd32c8d52be0f918f3bc0ca1da226700b33621ae307d5c85b171cb25d,1024,1024,first_1048576_bytes_uint8_grayscale_pad_00_truncate_to_1024x1024,/home/phil/vibex_secure_dataset/derived/images/vibex-lnx-100k/benign/7b614a01f222402d85b57db4318fbd57fe7ec6fc97a60bf6d7c3433f902aa080.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/benign/7b614a01f222402d85b57db4318fbd57fe7ec6fc97a60bf6d7c3433f902aa080.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data,20260517,0.2,VIBEX-LNX-100K,base_component_release
test,VIBEX-50K,vibex-50k,linux_elf_only,benign,benign,ubuntu_26.04_live_server_squashfs,70d0fffa643c0da472651d5c3f17c04f626cf80ec2a91555871fb21f3711da33,14800,elf,093123cd242ef99a9a77a634617bc847ecbce00e5f127ccd2dce612881c9e673,1024,1024,first_1048576_bytes_uint8_grayscale_pad_00_truncate_to_1024x1024,/home/phil/vibex_secure_dataset/derived/images/vibex-lnx-100k/benign/70d0fffa643c0da472651d5c3f17c04f626cf80ec2a91555871fb21f3711da33.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/benign/70d0fffa643c0da472651d5c3f17c04f626cf80ec2a91555871fb21f3711da33.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data,20260517,0.2,VIBEX-LNX-100K,base_component_release
test,VIBEX-50K,vibex-50k,linux_elf_only,benign,benign,ubuntu_26.04_live_server_squashfs,a6fd8c5aa0f7a0c38b186a25f32f988ca5f8bf5eb9511d24b70e579953ec2936,89128,elf,922ef941c4ec513872b853fab0f3d17ccdc62f2097a380950542bac2b76f1c92,1024,1024,first_1048576_bytes_uint8_grayscale_pad_00_truncate_to_1024x1024,/home/phil/vibex_secure_dataset/derived/images/vibex-lnx-100k/benign/a6fd8c5aa0f7a0c38b186a25f32f988ca5f8bf5eb9511d24b70e579953ec2936.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/benign/a6fd8c5aa0f7a0c38b186a25f32f988ca5f8bf5eb9511d24b70e579953ec2936.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data,20260517,0.2,VIBEX-LNX-100K,base_component_release
test,VIBEX-50K,vibex-50k,linux_elf_only,benign,benign,ubuntu_26.04_live_server_squashfs,62abb36eecff434bfce9423b7c818a1e8fbc73b5305fb1717250c6013c53d05a,64416,elf,37c7ff729df3c1b8bfced01fdccf9cb536029f1fb624f2ea168e25f058ea45e5,1024,1024,first_1048576_bytes_uint8_grayscale_pad_00_truncate_to_1024x1024,/home/phil/vibex_secure_dataset/derived/images/vibex-lnx-100k/benign/62abb36eecff434bfce9423b7c818a1e8fbc73b5305fb1717250c6013c53d05a.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/benign/62abb36eecff434bfce9423b7c818a1e8fbc73b5305fb1717250c6013c53d05a.png,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data,20260517,0.2,VIBEX-LNX-100K,base_component_release
