dataset_name,split,source_split,raw_sha256,image_sha256,binary_label,consensus_family,family_label_status,family_label_votes,family_label_engine_count,family_label_confidence,vt_report_path,dataset_image_path,source,file_kind,original_family_field,benchmark_name,inclusion_reason,exclusion_reason
VIBEX-50K,test,test,1f4cd41656cd2c94cd18daa5532680ad9f225d5525ef2005c685bef16a66fc6f,8677f105d1ede7dac9ed9e46cd5f7f714d74320ac28ef551c4ffc74772ff6f26,malware,generickd,labelled,6,38,0.157895,/home/phil/vibex_secure_dataset/evidence/virustotal/VIBEX-50K/1f4cd41656cd2c94cd18daa5532680ad9f225d5525ef2005c685bef16a66fc6f.json,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/malware/1f4cd41656cd2c94cd18daa5532680ad9f225d5525ef2005c685bef16a66fc6f.png,virusshare_00499,pe,VirusShare_dc499ab383c548abf2828f0631612223,family_core,stable_family_min_support,
VIBEX-50K,test,test,ba227c672b164d19352ef79bdb98310104f902b02bb18f9a7759c81de0c11fa0,238eab74f4b7cbfb660cd7a313ef6b6a9e7045b8449d051398d39da159185fe9,malware,generickd,labelled,6,30,0.2,/home/phil/vibex_secure_dataset/evidence/virustotal/VIBEX-50K/ba227c672b164d19352ef79bdb98310104f902b02bb18f9a7759c81de0c11fa0.json,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/malware/ba227c672b164d19352ef79bdb98310104f902b02bb18f9a7759c81de0c11fa0.png,virusshare_00499,pe,VirusShare_2d1beeaef045f2ea3015c9918f1d6f0d,family_core,stable_family_min_support,
VIBEX-50K,test,test,6c7fa8a7ef65652cb0d27e33f227c2e4b5a6060a5ce6ca4b92a35a398e9aa798,47d74ab6925e9f8775eb54bb3994d839f366d58451aca4efd9583b2bda3583ea,malware,zusy,labelled,8,51,0.156863,/home/phil/vibex_secure_dataset/evidence/virustotal/VIBEX-50K/6c7fa8a7ef65652cb0d27e33f227c2e4b5a6060a5ce6ca4b92a35a398e9aa798.json,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/malware/6c7fa8a7ef65652cb0d27e33f227c2e4b5a6060a5ce6ca4b92a35a398e9aa798.png,virusshare_00499,pe,VirusShare_3f75e772d8d5ce10bc6d61a21df51276,family_core,stable_family_min_support,
VIBEX-50K,test,test,f4e7f4bba9210b44211d6df67292a2deb5d1e4ed4517e288f7e3fb3be6b8e02d,c5e610c6af4dd03145ba3c43cb495365f3921e808966b6559b241f2498a514c9,malware,generickd,labelled,6,49,0.122449,/home/phil/vibex_secure_dataset/evidence/virustotal/VIBEX-50K/f4e7f4bba9210b44211d6df67292a2deb5d1e4ed4517e288f7e3fb3be6b8e02d.json,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/malware/f4e7f4bba9210b44211d6df67292a2deb5d1e4ed4517e288f7e3fb3be6b8e02d.png,virusshare_00499,pe,VirusShare_41780d05e067ca429e1194a47d37c846,family_core,stable_family_min_support,
VIBEX-50K,test,test,9efb926a74b6af3c028afb42d35e6080c65778bb7516b4d4214d719f639d109f,5abdbde0ccd4e32ac31e578aaa587f722bfe50cc2556de4c045eccd6d148ea96,malware,sivis,labelled,18,53,0.339623,/home/phil/vibex_secure_dataset/evidence/virustotal/VIBEX-50K/9efb926a74b6af3c028afb42d35e6080c65778bb7516b4d4214d719f639d109f.json,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/malware/9efb926a74b6af3c028afb42d35e6080c65778bb7516b4d4214d719f639d109f.png,virusshare_00499,pe,VirusShare_c17587d4e69c09a084c3b50a4d96e89b,family_core,stable_family_min_support,
VIBEX-50K,test,test,538d592d6abda48e8f8b3cb982f30d8a1def2771e48d8e7944da87d57f83c9b1,70dab2cfbb98c72bcde1d3831018b8b5988714b5721cafdaaab959fea57c7cdd,malware,salgorea,labelled,11,68,0.161765,/home/phil/vibex_secure_dataset/evidence/virustotal/VIBEX-50K/538d592d6abda48e8f8b3cb982f30d8a1def2771e48d8e7944da87d57f83c9b1.json,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/malware/538d592d6abda48e8f8b3cb982f30d8a1def2771e48d8e7944da87d57f83c9b1.png,virusshare_00499,pe,VirusShare_7388369e4868ad21066c0c71699da2ee,family_core,stable_family_min_support,
VIBEX-50K,test,test,93ee67cdeaf5f6e276a73690683bb346e0086ddb9e8802fecd148b7aa989f913,861d653a693fda850838b5142092f56f5b83e927eec7fa9f0bccf20e7688e3b3,malware,zusy,labelled,8,20,0.4,/home/phil/vibex_secure_dataset/evidence/virustotal/VIBEX-50K/93ee67cdeaf5f6e276a73690683bb346e0086ddb9e8802fecd148b7aa989f913.json,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/malware/93ee67cdeaf5f6e276a73690683bb346e0086ddb9e8802fecd148b7aa989f913.png,virusshare_00499,pe,VirusShare_6038566a8a392283fd97d55d06f0d0ae,family_core,stable_family_min_support,
VIBEX-50K,test,test,7b5ea5c234df72e9939b1f9c26352d29d62d10c12ef87352abbb1b12ec4e6add,cda425af9b84fdbe8143ec52c4e905b9d3634ad00289c8292201c467dcdecb0e,malware,upatre,labelled,10,52,0.192308,/home/phil/vibex_secure_dataset/evidence/virustotal/VIBEX-50K/7b5ea5c234df72e9939b1f9c26352d29d62d10c12ef87352abbb1b12ec4e6add.json,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/malware/7b5ea5c234df72e9939b1f9c26352d29d62d10c12ef87352abbb1b12ec4e6add.png,virusshare_00499,pe,VirusShare_b46df5cbdc82a2a65302800a32bee17f,family_core,stable_family_min_support,
VIBEX-50K,test,test,166b8c7f9caf15846c8cd401c70cce3627a93167d1d70b195d8c75d0cfdfcf85,38d6caccb15a57b4561be7b07146c194e62cd77ae38a7b340c85aba80aac898f,malware,barys,labelled,6,52,0.115385,/home/phil/vibex_secure_dataset/evidence/virustotal/VIBEX-50K/166b8c7f9caf15846c8cd401c70cce3627a93167d1d70b195d8c75d0cfdfcf85.json,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/malware/166b8c7f9caf15846c8cd401c70cce3627a93167d1d70b195d8c75d0cfdfcf85.png,virusshare_00499,pe,VirusShare_2da976ad2e2208795403ed39ff311560,family_core,stable_family_min_support,
VIBEX-50K,test,test,af6f198a66d9072d5b67860635eeab9977221a29812823c9a9084c20f756669a,4c8a4834b758c91ed3410efbc269df24252dd6e3bb6d40763f7ec888083f3228,malware,generickd,labelled,5,49,0.102041,/home/phil/vibex_secure_dataset/evidence/virustotal/VIBEX-50K/af6f198a66d9072d5b67860635eeab9977221a29812823c9a9084c20f756669a.json,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/malware/af6f198a66d9072d5b67860635eeab9977221a29812823c9a9084c20f756669a.png,virusshare_00499,pe,VirusShare_b88b77726e705d9a75ad487136e005a5,family_core,stable_family_min_support,
VIBEX-50K,test,test,83b9417e1b1f297c14a21018882be78d3c2cbcba28e682f35b652dc810a5ec64,b9447cbcfa59bd4670eec312361e3f874a85e5fc75c123542b298156876a434c,malware,generickd,labelled,5,50,0.1,/home/phil/vibex_secure_dataset/evidence/virustotal/VIBEX-50K/83b9417e1b1f297c14a21018882be78d3c2cbcba28e682f35b652dc810a5ec64.json,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/malware/83b9417e1b1f297c14a21018882be78d3c2cbcba28e682f35b652dc810a5ec64.png,virusshare_00499,pe,VirusShare_38326c84ce694679e521e6b2956b3a91,family_core,stable_family_min_support,
VIBEX-50K,test,test,2a45dfd53cf71e0302d388d726798fae6b26dc9449568ae7f315798b35ed56c3,147e0fe234f7f5dccf367d8c52695ab5f73c621a4d8a73f91afc3f14b70375ad,malware,salgorea,labelled,7,57,0.122807,/home/phil/vibex_secure_dataset/evidence/virustotal/VIBEX-50K/2a45dfd53cf71e0302d388d726798fae6b26dc9449568ae7f315798b35ed56c3.json,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/malware/2a45dfd53cf71e0302d388d726798fae6b26dc9449568ae7f315798b35ed56c3.png,virusshare_00499,pe,VirusShare_cf645d422463fc357dd74b5ca6d471a8,family_core,stable_family_min_support,
VIBEX-50K,test,test,22f786f8658e4650cd5f94d6c0fc0243ac22caa9c8beacd5638e07c760e2aab5,b891c7f07b290f8e208840b3a445e16f02fc68a284e9f2696b400c4768a44c4d,malware,barys,labelled,5,46,0.108696,/home/phil/vibex_secure_dataset/evidence/virustotal/VIBEX-50K/22f786f8658e4650cd5f94d6c0fc0243ac22caa9c8beacd5638e07c760e2aab5.json,/home/phil/vibex_secure_dataset/release/VIBEX-50K/data/test/malware/22f786f8658e4650cd5f94d6c0fc0243ac22caa9c8beacd5638e07c760e2aab5.png,virusshare_00499,pe,VirusShare_0790bae1dade58a32b55adb4b5c2ecd9,family_core,stable_family_min_support,
