architecture,image_mode,image_size,model_path,model_sha256,seed
compact_cnn,gray,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_compact_cnn_gray_256_seed1337/malware_family_compact_cnn_gray_256_seed1337.keras,9170dbb2dde9181486574f52df8503ccc69ec7edf43b273842e0501262de5915,1337
compact_cnn,gray,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_compact_cnn_gray_256_seed2027/malware_family_compact_cnn_gray_256_seed2027.keras,7fef4d39d29d6e9eb472de4124eb8c89ed617daf5d320b4530d1c0d2ef52dad8,2027
compact_cnn,gray,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_compact_cnn_gray_256_seed4099/malware_family_compact_cnn_gray_256_seed4099.keras,093b23e78579fd004fef429cf65fbe964231fce7778e995e929360d795d50054,4099
dense_small,gray,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_dense_small_gray_256_seed1337/malware_family_dense_small_gray_256_seed1337.keras,9afc255bd8c36e85293e4946cf9d0ff0288f86c47bb6ecbdc6c66ad61ac249af,1337
dense_small,gray,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_dense_small_gray_256_seed2027/malware_family_dense_small_gray_256_seed2027.keras,6adf4cd0d2af6793559786ba6073ed63ebf4a30aa4bfc2dfa24d5270fdf1e9ee,2027
dense_small,gray,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_dense_small_gray_256_seed4099/malware_family_dense_small_gray_256_seed4099.keras,cf249b6b976b2702bd5c07272e69f30e348f44a9769189ee5d559fdf24e9cbe5,4099
residual_small,gray,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_residual_small_gray_256_seed1337/malware_family_residual_small_gray_256_seed1337.keras,29ee5f787afe379817c9b7004a3c20d48b840bca0fe63750ada0408b0e00b778,1337
residual_small,gray,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_residual_small_gray_256_seed2027/malware_family_residual_small_gray_256_seed2027.keras,8ff026daf7ca582ab884a5776aea81be1228647190002824d889ace34054b725,2027
residual_small,gray,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_residual_small_gray_256_seed4099/malware_family_residual_small_gray_256_seed4099.keras,3a0eb1e88b1151f1838772b4d2127e04931668136efc7948f9714764c7f12338,4099
inception_small,gray,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_inception_small_gray_256_seed1337/malware_family_inception_small_gray_256_seed1337.keras,2d936314be5cff55f7f3df51421a284865407ff9c9d276baa4f21eb5a55f7630,1337
