raw_sha256,batch_id,batch_index,source,family_label_status,exclusion_reason,vt_consensus_family,raw_size_bytes,file_magic,sha256_verified,defender_status,defender_name,tool_hint_family,hint_sources,sigcheck_status,diec_status,capa_status,floss_status,strings_status,diec_summary,capa_summary,strings_summary,tool_errors,candidate_status,error
17a5bba945358f05224aacf5a36557f1e21824f1d98b2aa287a80f2cd0c9b5b4,server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0005,5,virusshare_00499,labelled,excluded_unstable_family,unruy,466156,4D5A,True,skipped_fast_mode,,,,completed,completed,skipped_fast_mode,skipped_fast_mode,completed,detects : [ filetype : PE32 info : offset : 0 parentfilepart : Header size : 466156 values : [ info : name : Microsoft Linker string : Linker: Microsoft Linker(5.12.8034) type : linker version : 5.12.8034 info : C++/std name : Microsoft Visual C/C++ string : Compiler: Microsoft Visual C/C++(12.00.8168)[C++/std] type : compiler version : 12.00.8168 ] ],,!This program cannot be run in DOS mode. HHtpHHtl SS@SSPVSS t.;t t( VC20XC00U runtime error TLOSS error SING error DOMAIN error - unable to initialize heap - not enough space for lowio initialization - not enough space for stdio initialization - pure virtual function call - not enough space for _onexit/atexit table - unable to open console device - unexpected heap error - unexpected multithread lock error - not enough space for thread data abnormal program termination - not enough space for environment - not enough space for arguments - floating point not loaded Microsoft Visual C++ Runtime Library Runtime Error! Program: program name unknown GetLastActivePopup GetActiveWindow MessageBoxA user32.dll GetFileAttributesExA HeapDestroy HeapFree QueryPerformanceCounter HeapCreate HeapAlloc GetP,,no_hint,
063089980363478e6644c1752c0365716090d0b4ee2708225a399548af91fd46,server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0005,5,virusshare_00499,ambiguous,excluded_ambiguous,ambiguous,376126,4D5A,True,skipped_fast_mode,,,,completed,completed,skipped_fast_mode,skipped_fast_mode,completed,detects : [ filetype : PE32 info : offset : 0 parentfilepart : Header size : 376126 values : [ info : name : MinGW string : Compiler: MinGW type : compiler version : ] ],,!This program cannot be run in DOS mode. .imports \WINDOWS\ \WINDOWS\system\ \WINDOWS\system32\ \WINDOWS\system32\drivers\ \DOCUME 1\All Users\Startmenu\Programs\Startup\ \DOKUME 1\All Users\Startmen \Programme\Autostart\ \My Downloads\ \exc.exe notepad.exe Win32.crAcker.A http://www.pinkworld.com http://www.youporn.com http://www.redtube.com http://www.assparade.com/ http://www.freeav.com/ http://www.antispyware.com/ http://www.antivirus.com/ \crAcker.exe Software\Microsoft\Windows\CurrentVersion\Run -LIBGCCW32-EH-2-SJLJ-GTHR-MINGW32 w32_sharedptr- size == sizeof(W32_EH_SHARED) %s:%u: failed assertion %s ../../gcc/gcc/config/i386/w32-shared-ptr.c GetAtomNameA (atom s sizeof(s)) != 0 AddAtomA CloseHandle CopyFileA CreateThread ExitProcess FindAtomA FindFirstFileA FindNextFileA GetAtomNameA,,no_hint,
512064cfd9062e00ed9e3ce602919117b480df3b7a156a29517d280d9e3ac801,server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0005,5,virusshare_00499,labelled,excluded_unstable_family,scar,100377,4D5A,True,skipped_fast_mode,,,,completed,completed,skipped_fast_mode,skipped_fast_mode,completed,detects : [ filetype : PE32 info : offset : 0 parentfilepart : Header size : 100377 values : [ info : name : tElock string : Protector: tElock(0.98b1) type : protector version : 0.98b1 info : name : MPRESS string : Packer: MPRESS(2.19) type : packer version : 2.19 ] ],,!Win32 .EXE. M ;qu@X d7sh Sd.Kpkc; -W aN_s L+dif)Pj% ja2 sR9 dT) A Xj 9E S+lK7t i9z ;dny70a+ BL8szD(F A=:nOe72 o.2 Z EG6/p2wQJ8qy Y!j l;h Zai@.9R3@ ]N 4J8slW 7-oltfB: (+y: o-g r]dG !3Os xW0 j \g TzQ BtFJ GetModuleHandleA GetProcAddress KERNEL32.DLL GDI32.dll gdiplus.dll GdiplusStartup MSIMG32.dll AlphaBlend MSVCRT.dll ole32.dll CoInitialize OLEAUT32.dll SHELL32.dll DragFinish SHLWAPI.dll StrToIntExA USER32.dll WININET.dll InternetOpenA MsdSysqa btL6 b#BH l M V4Y%\F ji\kImBU kernel32.dll user32.dll GetModuleHandleA MessageBoxA SysqamqqvaqqdSysqamqqvaqqdSysqamqqvaqqdSysqamqqvaqqdSysqamqqvaqqdSysqamqqvaqqdSysqamqqvaqqdSysqamqqvaqqdSysqamqqvaqqdSysqamqqvaqqdSysqamqqvaqqdSysqamqqvaqqdSysqamqqvaqqdSysqamqqvaqqdSysqamqqvaqqdSysqamqqvaqqdSysqamqqvaqqdSysqamqqvaqqdSysqamqqvaqqdSysqamqqvaqqdSysqamqq,,no_hint,
bcecb74e06179da763d1048a81f5f2ddf02c7540397bea3d398d4f8ec67fc3e7,server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0005,5,virusshare_00499,unlabelled,excluded_unlabelled,unlabelled,82313,4D5A,True,skipped_fast_mode,,,,completed,completed,skipped_fast_mode,skipped_fast_mode,completed,detects : [ filetype : PE32 info : offset : 0 parentfilepart : Header size : 82313 values : [ info : name : Packman string : Packer: Packman(1.0) type : packer version : 1.0 ] ],,!This program cannot be run in DOS mode. sdfsdhff sdfsdhff wwwwwwwwwwwwwwwpx pxwwwwwwwwwwwwwxpx pxDDDDDDDDD@ pxDDDDDDDDDH pxDDDDDDDDDH pxDDDDDDDDDDDDDDpx pwwwwwwwwwwwwwwwp wwwwwwwpx pxwwwwwwpxDDD pxDDDDDDpx pwwwwwwww 63[4]5mm]5\]m]mm5\mm5555555\\\5\\\5m\55\\5ed: cOXY/P.Z0.0.QR00/ZPP0000000/0PPZR.BI@/DE0 WkV21TSav 8 qooggggggg1 _fhsnHK Nw ytMMMMMMUbbrrrrrxxxxxxxxrriUMMMMMMMMMUuzt I3 )+ +))) ))() +++ 6J!54 CBA jYPQTVTSkllZTTXRTUiHceWda/ yvrrwsqpon PPPPPPPPPPPPPPPPPKMNNNNNNNNNNOLO JHHGGGGGGGGHI JEEEEEEEEEEFC JEEEEEEEEEEFC JEEEEEEEEEEFD JEFEEEEEEEEEB O%JEEEEEEEEEFFB JJIIIIJIIIIJJ O(@ =77A779 8; O )O6530./21+ - 4#4PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP assembly xmlns= urn:schemas-microsoft-com:asm.v1 manifestVersion= 1.0 trustInfo xmlns= urn:schemas-microsoft-com:asm.v3 security requestedPrivileges ,,no_hint,
97a6b8a78c234d37a562888e6d93252e5448ccaa5d5fd32984db7f5e9d598b8d,server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0005,5,virusshare_00499,unlabelled,excluded_unlabelled,unlabelled,1958408,4D5A,True,skipped_fast_mode,,,,completed,completed,skipped_fast_mode,skipped_fast_mode,completed,detects : [ filetype : PE32 info : offset : 0 parentfilepart : Header size : 1958408 values : [ info : name : Microsoft Linker string : Linker: Microsoft Linker(10.00.40219) type : linker version : 10.00.40219 info : C++ name : Microsoft Visual C/C++ string : Compiler: Microsoft Visual C/C++(16.00.40219)[C++] type : compiler version : 16.00.40219 info : name : Microsoft Visual Studio string : Tool: Microsoft Visual Studio(2010) type : tool version : 2010 ] ],,!This program cannot be run in DOS mode. Wpi Wpi/ h 6 ihX; yzihTlzih0 p ih aQ f; !/fSVW hHfzihhwF k[ra+ %= ak-4fm2B) h VzihPu 7 oz z#u SxihP ih4 Wpi Wpi/ CryptGenRandom ADVAPI32.dll z P;xs]E h VzihPu W8h 8 ih SxihP ih4 t SS9] u UQPXY]Y[ PPPPPPPP PPPPPPPP tCHt(Ht ;Xhi 6 h E\Z h[_i TB.phAiiaA; D0 @hi YHh0 \8F );q0B1Na; uPhizV + @249#UV z P9fLhizgth Th iQ [i u fQ M@ @pxB2mf4-ka OS8h4IPh y5IE2O8i OmCVl+Hi ik8Ai [xh !8Lc hpV IHXigUFig D sk ih -Kernel32.dll FileTimeToSystemTime FaNretupmoCteGmeW ole32.dll CoCreateInstance Kernel32.dll TlacoLteGime %s %s%s --splash vector T too long kernel32.dll IsWow64Process RegOpenKeyTransactedW Advapi32.dll string too long invalid string position eg et alue x %s AAA %s CreateProcessW PathAddExtensionW Shlwapi.dll ntdll.dll NoRemove ForceRemove 0123456789ABCDE,,no_hint,
ab813cbd5825311d26210e2f8b823c79e8a209d312b69d039775a81099e62ab4,server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0005,5,virusshare_00499,unlabelled,excluded_unlabelled,unlabelled,196823,4D5A,True,skipped_fast_mode,,,,completed,completed,skipped_fast_mode,skipped_fast_mode,completed,detects : [ filetype : PE32 info : offset : 0 parentfilepart : Header size : 196823 values : [ info : name : Microsoft Linker string : Linker: Microsoft Linker(6.0) type : linker version : 6.0 info : name : Microsoft Visual Basic string : Compiler: Microsoft Visual Basic(6.0) type : compiler version : 6.0 ] ],,!ThisRprogram cannot be run in DOS mode. MSVBVM60.DLL I m Unicorn Adobe Photoshop CC 2018 (Windows) 2019:01:H7 19:44:27 Adobe_CM \Photoshop 3.0 printOutput PstSbool Inteenum printSixtee printerNameTEXT printProofSetupObjc Proof Setup proofSetup Bltnenum builtinProof proofCMYK printOutputOptions Cptnbool Clbrbool RgsMbool CrnCbool CntCbool Lblsbool Ngtvbool EmlDbool Intrbool BckgObjc Rd doub@o Grn doub@o Bl doub@o BrdTUntF#Rlt Bld UntF#Rlt RsltUntF#Pxl@b ectorDatabool PgPsenum LeftUntF#Rlt Top UntF#Rlt Scl UntF#Prc@Y cropWhenPrintingbool cropRectBottomlong cropRectLeftlong cropRectRightlong cropRectToplong boundsObjc Top long Leftlong Btomlong Rghtlong sl)cesVlLs sliceIDlong groupIDlong originenum ESliceOrigin oGenerated Typeenum ESliceType boundsObjc Top long Leftlong Btomlong nullTE T Msg,,no_hint,
a36c9f6bd31e38b7640184d99fb51a819389f8a66f58353466ba61ce9a540fe0,server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0005,5,virusshare_00499,unlabelled,excluded_unlabelled,unlabelled,6657,4D5A,True,skipped_fast_mode,,,,completed,completed,skipped_fast_mode,skipped_fast_mode,completed,detects : [ filetype : PE32 info : offset : 0 parentfilepart : Header size : 6657 values : [ info : name : Unknown string : Unknown: Unknown type : Unknown version : ] ],,!This program cannot be run in DOS mode. Kapbik32 ExitProcess GetEnvironmentStringsA CloseHandle GetSystemDirectoryA OpenMutexA RtlUnwind _open_osfhandle KERNEL32.DLL CRTDLL.DLL 4 5J5V5b5n5z5 2 2 2(2 20242D2H2L2P2T2X2\2 2d2h2 _Udarim_kartonom_po_USD,,no_hint,
9b54d26167df37ddae36be27511b7f79b9d8f89d34a3e2c28f353a6fd0aaa08c,server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0005,5,virusshare_00499,unlabelled,excluded_unlabelled,unlabelled,1108132,4D5A,True,skipped_fast_mode,,,,completed,completed,skipped_fast_mode,skipped_fast_mode,completed,detects : [ filetype : PE32 info : offset : 0 parentfilepart : Header size : 1108132 values : [ info : name : Microsoft Linker string : Linker: Microsoft Linker(11.00.61030) type : linker version : 11.00.61030 info : C++ name : Microsoft Visual C/C++ string : Compiler: Microsoft Visual C/C++(17.00.61030)[C++] type : compiler version : 17.00.61030 info : name : Microsoft Visual Studio string : Tool: Microsoft Visual Studio(2012) type : tool version : 2012 info : name : Petite string : Packer: Pet,,!This program cannot be run in DOS mode. -.Ijxupg NZEmONlPer :K9D:9 Z@0MK_E HW\@-RE % %% Xk phca46k6a1 y/y( JN(DcxVM +] \ Xeba L;uv@ [ UZ5 s !yYyByKB l(]. 6Hx -\r(r(TVJCr(r(Csidr(r(ciw 8F\ s(r(\koh /9 U 6b X \ P \ X \ @ \ X \ P \ X \ X \ P \ X \ @ \ X \ P \ X \ n H\u P V)\0jhswcu VWXZWspl 1L Nu9a ;s_!zi f elm(VPms NDN=/1Sh 5(i_4.pDL 4 (4wHm; ovzRa_PU cANgwEd .xDVtu+2c - BfS0Uh3G Awz1 (p U \EQon)y. @I(xh e pHpW \4Kw ht 3@U j Zy H[BQy H + 80 .XQAtFM :RDo+T [W \cc ) +2de2 # KT G_5 ] hO E Y _A T09Ipb! 5 s7 K UUTSL EbT eU7d 8bC=A zji]8Oe5 #=EPP_ P=_ RAg-B j p+ G T_H hDcoW5BH Lr2 10tk W o5 V 0o ]Z_:r q(L!L0;2 :t_B_]C GiTe_ +zV 1o+2 .FykP e W n WG D.Sq o[2oYl 6 U!y //_fPz5 Y5 0l=rB+Y[2 / !cim\! SZ W:)Qr P\f %IZ_- sPU 0_1b sW Sj4/ LsO .QZU !IvZ d iN j;M(d 1]z KM9 D#DB.r ) h[1P! w /m6_ P8 i /xc Y[q,,no_hint,
95b5cadac1b32090876c70f9790acd42bf8d5d21cf9db80362eafbb8030c98a2,server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0005,5,virusshare_00499,unlabelled,excluded_unlabelled,unlabelled,411878,4D5A,True,skipped_fast_mode,,,,completed,completed,skipped_fast_mode,skipped_fast_mode,completed,detects : [ filetype : PE32 info : offset : 0 parentfilepart : Header size : 411878 values : [ info : name : Turbo Linker string : Linker: Turbo Linker(2.25) type : linker version : 2.25 info : Enterprise name : Embarcadero Delphi string : Compiler: Embarcadero Delphi(2009-2010)[Enterprise] type : compiler version : 2009-2010 ] ],,This program must be run under Win32 TObjectd TObjectX IInterface TInterfacedObject SOFTWARE\Borland\Delphi\RTL FPUMaskValue ZTUWVSPRTj kernel32.dll GetLongPathNameA Software\Borland\Locales Software\Borland\Delphi\Locales TFileName TSearchRecX Exception EHeapException EOutOfMemory EInOutError EExternal EExternalException EIntError EDivByZero ERangeError EIntOverflow EMathError EInvalidOp EZeroDivide EOverflow EUnderflow EInvalidPointer EInvalidCast EConvertError EAccessViolation EPrivilege EStackOverflow EControlC EVariantError EAssertionFailed EAbstractError EIntfCastError EOSError ESafecallException SysUtils SysUtils TThreadLocalCounter TMultiReadExclusiveWriteSynchronizer t 0r= 9w9i @@@ @@@ @@ @@( )@- @@ - @@ -@@( )@- @@ - @@ -@@- @- @ -@ -@ - @ - @( )( ) t%HtIHtm QQQQQQSVW3 QQQQQSVW T,,no_hint,
ae407c9381472b593fcc2048bba1b1fe5ce482938ceebef3c1219225e5fa18f2,server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0005,5,virusshare_00499,unlabelled,excluded_unlabelled,unlabelled,1958408,4D5A,True,skipped_fast_mode,,,,completed,completed,skipped_fast_mode,skipped_fast_mode,completed,detects : [ filetype : PE32 info : offset : 0 parentfilepart : Header size : 1958408 values : [ info : name : Microsoft Linker string : Linker: Microsoft Linker(10.00.40219) type : linker version : 10.00.40219 info : C++ name : Microsoft Visual C/C++ string : Compiler: Microsoft Visual C/C++(16.00.40219)[C++] type : compiler version : 16.00.40219 info : name : Microsoft Visual Studio string : Tool: Microsoft Visual Studio(2010) type : tool version : 2010 ] ],,!This program cannot be run in DOS mode. Wpi Wpi/ h 6 ihX; yzihTlzih0 p ih aQ f; !/fSVW hHfzihhwF k[ra+ %= ak-4fm2B) h VzihPu 7 oz z#u SxihP ih4 Wpi Wpi/ CryptGenRandom ADVAPI32.dll z P;xs]E h VzihPu W8h 8 ih SxihP ih4 t SS9] u UQPXY]Y[ PPPPPPPP PPPPPPPP tCHt(Ht ;Xhi 6 h E\Z h[_i TB.phAiiaA; D0 @hi YHh0 \8F );q0B1Na; uPhizV + @249#UV z P9fLhizgth Th iQ [i u fQ M@ @pxB2mf4-ka OS8h4IPh y5IE2O8i OmCVl+Hi ik8Ai [xh !8Lc hpV IHXigUFig D sk ih -Kernel32.dll FileTimeToSystemTime FaNretupmoCteGmeW ole32.dll CoCreateInstance Kernel32.dll TlacoLteGime %s %s%s --splash vector T too long kernel32.dll IsWow64Process RegOpenKeyTransactedW Advapi32.dll string too long invalid string position eg et alue x %s AAA %s CreateProcessW PathAddExtensionW Shlwapi.dll ntdll.dll NoRemove ForceRemove 0123456789ABCDE,,no_hint,
